GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ORK,cloud.melion.utils,ObjectMapper,79,79,17,9,8,15,10,6,0,3
ORK,cloud.melion.builder,ConnectionSettingsBuilder,55,60,0,0,11,13,5,4,5,4
ORK,cloud.melion.data,ConnectionSettings,25,60,0,0,0,8,1,8,1,8
ORK,cloud.melion.dsl,ORKBaseDSLKt,0,20,0,0,0,2,0,1,0,1
ORK,cloud.melion.base,GetDefaultValueOfParamFunctionKt,5,21,1,3,1,4,1,2,0,1
ORK,cloud.melion.base,QueryFunctionKt,11,0,0,0,2,0,1,0,1,0
ORK,cloud.melion.base,GetSQLTypeFunctionKt,7,43,4,8,2,9,4,4,0,2
ORK,cloud.melion.base,GetNameOfParamFunctionKt,0,23,0,2,0,4,0,2,0,1
ORK,cloud.melion.base,UpdateFunctionKt,0,7,0,0,0,2,0,1,0,1
ORK,cloud.melion.base,GetConstructorFunctionKt,0,109,0,12,0,5,0,7,0,1
ORK,cloud.melion.base,CreateTableFunctionKt,0,267,0,16,0,31,0,9,0,1
ORK,cloud.melion,MySQL,81,143,6,6,16,26,6,6,1,5
ORK,cloud.melion.extensions,ORKBaseExtensionsKt,0,20,0,0,0,1,0,1,0,1
ORK,cloud.melion.extensions,ORKDeleteExtensionKt,113,0,8,0,16,0,5,0,1,0
ORK,cloud.melion.extensions,ORKSaveExtensionKt,26,208,6,10,2,26,6,3,0,1
ORK,cloud.melion.errors,WrongAnnotaionError,0,9,0,0,0,1,0,1,0,1
ORK,cloud.melion.errors,NoConstructorFoundError,0,9,0,0,0,1,0,1,0,1
ORK,cloud.melion.errors,NoPrimaryKeyFoundError,0,9,0,0,0,1,0,1,0,1
